epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8414,0.94605,2.33582,2.33377,1.30968,0.33948,0.44427,0.27592,0.1708,0.32769,0.44427,0.26651,0.15748,1.14458,2.44463,2.31531,1.669,0.00054409,0.00054409,0.00054409
2,30.0685,0.82383,1.15779,1.63197,1.19736,0.36933,0.61068,0.42817,0.28415,0.36933,0.61068,0.42417,0.30423,1.05355,1.99038,2.78338,1.57468,0.00107798,0.00107798,0.00107798
3,42.575,0.84458,1.08451,1.5094,1.20823,0.38482,0.39874,0.34294,0.20794,0.38306,0.37492,0.27031,0.15197,1.39889,4.5246,2.2583,1.90271,0.00158987,0.00158987,0.00158987
4,53.8509,0.82227,1.08745,1.45664,1.1865,0.42553,0.32752,0.34396,0.1978,0.30433,0.43838,0.33607,0.19515,1.61683,1.88843,2.3784,2.06322,0.00156798,0.00156798,0.00156798
5,65.521,0.78997,0.96564,1.36303,1.1589,0.43331,0.71468,0.4954,0.30704,0.42506,0.70447,0.49078,0.36439,1.22699,1.1808,1.7037,1.63764,0.00153497,0.00153497,0.00153497
6,77.9945,0.72867,0.91502,1.22646,1.12009,0.574,0.5913,0.54212,0.36252,0.45631,0.72322,0.53434,0.42203,0.96766,1.13135,1.45619,1.40888,0.00150197,0.00150197,0.00150197
7,90.471,0.70952,0.90228,1.2117,1.0916,0.56073,0.81083,0.64139,0.41155,0.56689,0.85065,0.67577,0.49615,1.00646,0.97215,1.50956,1.45039,0.00146896,0.00146896,0.00146896
8,102.85,0.70633,0.8097,1.16629,1.09463,0.48808,0.59027,0.51239,0.33131,0.48808,0.59027,0.51625,0.38921,0.98082,0.93696,1.86466,1.3417,0.00143595,0.00143595,0.00143595
9,115.206,0.73025,0.80143,1.16443,1.11495,0.5974,0.71586,0.71061,0.50353,0.60491,0.72606,0.71653,0.5546,0.95554,0.91565,1.32396,1.40276,0.00140295,0.00140295,0.00140295
10,127.7,0.6596,0.72652,1.06363,1.06524,0.56082,0.86185,0.72726,0.54038,0.56856,0.87206,0.73443,0.58728,0.78821,0.85295,1.20007,1.19907,0.00136994,0.00136994,0.00136994
11,140.256,0.65802,0.73918,1.05627,1.07605,0.52134,0.79631,0.68594,0.52473,0.50832,0.80651,0.69283,0.57789,0.84715,0.74345,1.19247,1.22658,0.00133693,0.00133693,0.00133693
12,153.982,0.65489,0.78042,1.04715,1.08152,0.50675,0.83477,0.63985,0.48482,0.50675,0.83477,0.64608,0.52746,0.7698,0.79484,1.34236,1.17476,0.00130393,0.00130393,0.00130393
13,165.356,0.63186,0.71665,0.9961,1.05548,0.70911,0.7916,0.79712,0.61779,0.70911,0.7916,0.80043,0.68003,0.77228,0.70121,1.06653,1.16227,0.00127092,0.00127092,0.00127092
14,177.24,0.60656,0.72142,0.96351,1.04052,0.68843,0.8595,0.80064,0.63363,0.69769,0.8697,0.81074,0.67874,0.78773,0.72437,1.05357,1.18815,0.00123791,0.00123791,0.00123791
15,189.691,0.59489,0.63768,0.92285,1.03591,0.53208,0.8192,0.73717,0.55835,0.53796,0.8294,0.73981,0.63833,0.7436,0.64949,1.17667,1.13699,0.00120491,0.00120491,0.00120491
16,202.163,0.59434,0.68656,0.9302,1.04035,0.63483,0.81623,0.75726,0.58709,0.65252,0.83664,0.78158,0.6586,0.78557,0.65193,1.00118,1.14413,0.0011719,0.0011719,0.0011719
17,214.769,0.59452,0.68869,0.89765,1.03582,0.54842,0.78129,0.70764,0.55558,0.5527,0.79675,0.70466,0.60204,0.71203,0.63691,1.14777,1.09356,0.00113889,0.00113889,0.00113889
18,227.242,0.56666,0.6552,0.86451,1.01671,0.65822,0.86185,0.83161,0.65817,0.67181,0.88226,0.84843,0.73921,0.74588,0.64791,1.02999,1.11815,0.00110589,0.00110589,0.00110589
19,239.612,0.5596,0.59762,0.83964,1.02541,0.67307,0.76452,0.78371,0.60278,0.58606,0.89499,0.78512,0.67768,0.77269,0.65806,0.99216,1.16314,0.00107288,0.00107288,0.00107288
20,251.747,0.5901,0.65582,0.86439,1.03909,0.61326,0.75785,0.72044,0.5629,0.61326,0.75785,0.72129,0.60024,0.76883,0.55286,1.0967,1.14404,0.00103987,0.00103987,0.00103987
21,263.172,0.55414,0.60193,0.82303,1.02372,0.80793,0.64537,0.75701,0.58604,0.80793,0.64537,0.75701,0.6675,0.8449,0.56121,1.13177,1.19176,0.00100687,0.00100687,0.00100687
22,275.106,0.55877,0.61291,0.81354,1.01543,0.72705,0.69545,0.8054,0.6507,0.71663,0.68524,0.80658,0.71886,0.72339,0.47447,0.95884,1.09764,0.000973861,0.000973861,0.000973861
23,287.594,0.52946,0.56031,0.77007,0.99611,0.65278,0.83115,0.83212,0.70199,0.65278,0.83115,0.83212,0.74232,0.70541,0.50084,0.81991,1.11677,0.000940855,0.000940855,0.000940855
24,299.982,0.51985,0.55143,0.74533,0.9814,0.67479,0.86279,0.82538,0.69055,0.67479,0.86279,0.82538,0.72751,0.6661,0.50162,0.80873,1.05325,0.000907848,0.000907848,0.000907848
25,312.535,0.53054,0.55719,0.7763,0.99758,0.65944,0.75657,0.82003,0.6762,0.68962,0.7657,0.82246,0.70305,0.61295,0.66461,0.91339,1.00692,0.000874842,0.000874842,0.000874842
26,325.009,0.52318,0.58552,0.74553,0.99104,0.66117,0.84841,0.8479,0.70404,0.66721,0.85862,0.8495,0.74784,0.60692,0.49968,0.83286,1.00397,0.000841835,0.000841835,0.000841835
27,337.413,0.51473,0.56636,0.75529,0.99367,0.79229,0.81339,0.876,0.70688,0.79229,0.81339,0.876,0.76363,0.7076,0.52427,0.77717,1.11391,0.000808828,0.000808828,0.000808828
28,351.348,0.48914,0.56388,0.72583,0.98663,0.62819,0.79749,0.79775,0.68093,0.62819,0.79749,0.79814,0.69625,0.60491,0.59295,0.89718,1.03334,0.000775822,0.000775822,0.000775822
29,362.692,0.48436,0.54848,0.71114,0.96928,0.75396,0.76725,0.83094,0.68115,0.75396,0.76725,0.82681,0.7432,0.71801,0.53258,0.89511,1.14066,0.000742815,0.000742815,0.000742815
30,374.449,0.46013,0.48697,0.66443,0.96899,0.80908,0.71821,0.85106,0.70025,0.80056,0.70801,0.84013,0.75707,0.64528,0.51771,0.84395,1.00428,0.000709809,0.000709809,0.000709809
31,387.004,0.48563,0.53489,0.71279,0.97539,0.75898,0.84015,0.89529,0.76279,0.75898,0.84015,0.89529,0.82456,0.55008,0.49678,0.70374,0.9284,0.000676802,0.000676802,0.000676802
32,399.311,0.48595,0.53962,0.67507,0.98041,0.69138,0.85165,0.87318,0.72875,0.72331,0.85008,0.87669,0.78553,0.57518,0.5378,0.81717,0.97168,0.000643795,0.000643795,0.000643795
33,411.648,0.48029,0.51307,0.66784,0.97803,0.76965,0.79278,0.86724,0.73664,0.7801,0.80298,0.87549,0.79524,0.56944,0.43048,0.75257,0.92447,0.000610789,0.000610789,0.000610789
34,424.173,0.478,0.50923,0.66937,0.98367,0.71106,0.77474,0.83459,0.68737,0.70322,0.76517,0.82645,0.75732,0.59351,0.44663,0.85625,0.97023,0.000577782,0.000577782,0.000577782
35,436.585,0.47571,0.52483,0.66347,0.97581,0.76642,0.8062,0.86174,0.73056,0.76642,0.8062,0.86174,0.78171,0.50267,0.43391,0.77824,0.90883,0.000544776,0.000544776,0.000544776
36,448.654,0.47948,0.54338,0.65649,0.98533,0.77547,0.84988,0.8982,0.77576,0.77547,0.84988,0.8982,0.79757,0.49907,0.40767,0.69835,0.89042,0.000511769,0.000511769,0.000511769
37,459.878,0.45622,0.52066,0.62626,0.96579,0.81112,0.6821,0.78853,0.67262,0.81112,0.6821,0.78853,0.72241,0.56933,0.42847,0.90649,0.97416,0.000478762,0.000478762,0.000478762
38,472.244,0.45705,0.50101,0.64223,0.97172,0.74832,0.79962,0.88441,0.77182,0.74832,0.79962,0.88262,0.80266,0.47757,0.41882,0.69204,0.88948,0.000445756,0.000445756,0.000445756
